Steam Game,day,CS:GO
day1,Mon,516832
day2,Tue,512141
day3,Wed,512232
day4,Thu,506424
day5,Fri,541908
day6,Sat,565968
day7,Sun,543647
day8,Mon,505094
day9,Tue,493829
day10,Wed,484254
day11,Thu,483746
day12,Fri,526920
day13,Sat,529519
day14,Sun,519935
day15,Mon,477167
day16,Tue,477167
day17,Wed,461327
day18,Thu,469555
day19,Fri,465050
day20,Sat,510049
day21,Sun,529812
day22,Mon,518544
day23,Tue,463594
day24,Wed,452950
day25,Thu,475508
day26,Fri,487392
day27,Sat,524092
day28,Sun,543262
day29,Mon,513889
day30,Tue,474492
day31,Wed,459860
